City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Longyearbyen,SJ,78.2186,15.6401,40.84,70,20,6.91,few clouds
293,Palaia Fokaia,GR,37.72,23.9463,85.71,58,0,8.43,clear sky
294,Avarua,CK,-21.2078,-159.775,80.65,78,8,11.5,clear sky
295,Mino,JP,34.8269,135.4706,85.91,77,75,9.22,broken clouds
296,Nizhnyaya Poyma,RU,56.1622,97.1933,61.03,93,18,3.85,few clouds
297,Mount Gambier,AU,-37.8333,140.7667,44.51,81,100,10.36,overcast clouds
298,Bibbiena,IT,43.6965,11.8135,73.08,69,13,1.16,few clouds
299,Padang,ID,-0.9492,100.3543,73.45,78,82,3.89,broken clouds
300,Kununurra,AU,-15.7667,128.7333,60.78,72,36,1.14,scattered clouds
301,Rosa Zarate,EC,0.3333,-79.4667,76.05,89,57,3.76,light rain
302,Chalakudi,IN,10.304,76.3361,75.11,94,75,0.0,heavy intensity rain
303,Benguela,AO,-12.5763,13.4055,68.13,90,11,5.06,few clouds
304,Lompoc,US,34.6391,-120.4579,88.57,71,1,13.8,clear sky
305,San Vicente,AR,-26.6167,-54.1333,51.82,77,0,2.93,clear sky
306,Mehamn,NO,71.0357,27.8492,43.52,90,100,17.98,light rain
307,Severobaykalsk,RU,55.65,109.3167,60.48,63,4,2.15,clear sky
308,Rancho Palos Verdes,US,33.7445,-118.387,102.67,78,20,5.01,few clouds
309,Peniche,PT,39.3558,-9.3811,64.72,89,11,12.91,few clouds
310,North Myrtle Beach,US,33.816,-78.68,86.22,79,40,9.22,scattered clouds
311,Newport,GB,51.5877,-2.9984,71.71,82,2,6.93,clear sky
312,Susangerd,IR,31.5608,48.1831,96.82,37,19,9.89,few clouds
313,Maragogi,BR,-9.0122,-35.2225,73.9,85,52,9.93,broken clouds
314,Inuvik,CA,68.3499,-133.7218,88.56,44,20,6.91,smoke
315,Hobyo,SO,5.3505,48.5268,77.22,78,31,21.34,scattered clouds
316,Chapais,CA,49.7834,-74.8492,69.58,49,70,5.14,broken clouds
317,Kozluk,TR,38.1938,41.4885,66.45,25,0,4.74,clear sky
318,Filadelfia,US,39.9523,-75.1638,80.1,80,75,1.99,thunderstorm
319,Dickinson,US,29.4608,-95.0513,89.82,66,20,4.61,few clouds
320,Capao Da Canoa,BR,-29.7456,-50.0097,53.01,67,0,4.74,clear sky
321,Cayenne,GF,4.9333,-52.3333,83.08,81,20,4.0,few clouds
322,Aleksandrov Gay,RU,50.147,48.5704,77.95,44,24,9.78,few clouds
323,Hocaba,MX,20.8167,-89.25,80.92,61,66,6.44,broken clouds
324,Fort Nelson,CA,58.8053,-122.7002,67.59,64,75,3.44,broken clouds
325,Tanout,NE,14.9709,8.8879,82.87,56,98,14.74,overcast clouds
326,Filingue,NE,14.3521,3.3168,86.67,50,100,4.61,overcast clouds
327,Ust-Tsilma,RU,65.441,52.1498,41.31,99,67,3.96,broken clouds
328,Iqaluit,CA,63.7506,-68.5145,46.13,75,90,11.01,overcast clouds
329,Provideniya,RU,64.3833,-173.3,44.71,81,90,6.71,overcast clouds
330,Husavik,IS,66.0449,-17.3389,60.71,80,4,4.05,clear sky
331,Porto Novo,BJ,6.4965,2.6036,78.62,78,82,7.83,broken clouds
332,Lorengau,PG,-2.0226,147.2712,83.28,74,76,4.38,broken clouds
333,Kavaratti,IN,10.5669,72.642,82.18,82,100,22.44,overcast clouds
334,Bonavista,CA,48.6499,-53.1147,52.12,92,61,11.54,broken clouds
335,Bara,NG,10.3744,10.7288,73.56,92,57,6.82,moderate rain
336,Coyutla,MX,20.25,-97.65,80.13,84,74,4.45,broken clouds
337,Beloha,MG,-25.1667,45.05,71.76,57,69,8.03,broken clouds
338,Carballo,ES,43.213,-8.691,64.54,92,86,3.09,overcast clouds
339,Nanortalik,GL,60.1432,-45.2371,43.84,99,100,8.08,overcast clouds
340,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,14.97,scattered clouds
341,Kenai,US,60.5544,-151.2583,58.08,91,90,6.91,moderate rain
342,Havelock,US,34.8791,-76.9013,85.05,84,20,1.99,few clouds
343,Adelaide,AU,-34.9333,138.6,45.1,82,75,4.0,light intensity drizzle
344,Nishihara,JP,26.1842,127.7558,81.68,92,90,28.77,light intensity shower rain
